year mm dd vehcd min rentamt
2019 8 4 FM001 27 7.75
2019 8 4 FM001 34 9.5
2019 8 4 FM001 8 3
2019 8 4 FM001 50 13.5
2019 8 4 FM001 1 1.25
2019 8 4 FM002 33 9.25
2019 8 4 FM002 70 18.5
2019 8 4 FM004 31 8.75
2019 8 4 FM004 65 17.25
2019 8 4 FM004 12 4
2019 8 4 FM005 30 8.5
2019 8 4 FM006 77 20.25
2019 8 4 FM007 8 3
2019 8 4 FM008 58 15.5
2019 8 4 FM009 19 5.75
2019 8 4 FM009 25 7.25
2019 8 4 FM009 28 8
2019 8 4 FM009 33 9.25
2019 8 4 FM012 22 6.5
2019 8 4 FM013 34 9.5
2019 8 4 FM013 35 9.75
2019 8 4 FM014 41 11.25
2019 8 4 FM015 7 2.75
2019 8 5 FE942 54 14.5
2019 8 5 FE942 5 2.25
2019 8 5 FE942 29 8.25
2019 8 5 FE943 56 15
2019 8 5 FE943 5 2.25
2019 8 5 FE944 17 5.25
2019 8 5 FE944 30 8.5
2019 8 5 FE944 9 3.25
2019 8 5 FE946 49 13.25
2019 8 5 FE949 1 1.25
2019 8 5 FE953 112 29
2019 8 5 FE954 63 16.75
2019 8 5 FE954 57 15.25
2019 8 5 FE955 10 3.5
2019 8 5 FM002 57 15.25
2019 8 5 FM003 57 15.25
2019 8 5 FM003 8 3
2019 8 5 FM004 34 9.5
2019 8 5 FM004 100 26
2019 8 5 FM005 17 5.25
2019 8 5 FM007 10 3.5
2019 8 5 FM007 16 5
2019 8 5 FM008 44 12
2019 8 5 FM008 27 7.75
2019 8 5 FM010 75 19.75
2019 8 5 FM011 23 6.75
2019 8 5 FM011 22 6.5
2019 8 5 FM011 65 17.25
2019 8 5 FM012 104 27
2019 8 5 FM012 33 9.25
2019 8 5 FM013 33 9.25
2019 8 5 FM014 45 12.25
2019 8 5 FM015 88 23
2019 8 6 FE944 9 3.25
2019 8 6 FE945 2 1.5
2019 8 6 FE946 17 5.25
2019 8 6 FE947 27 7.75
2019 8 6 FE947 65 17.25
2019 8 6 FE948 46 12.5
2019 8 6 FE948 16 5
2019 8 6 FE948 25 7.25
2019 8 6 FE949 4 2
2019 8 6 FE949 51 13.75
2019 8 6 FE949 24 7
2019 8 6 FE956 55 14.75
2019 8 6 FM001 7 2.75
2019 8 6 FM002 23 6.75
2019 8 6 FM003 56 15
2019 8 6 FM004 9 3.25
2019 8 6 FM004 72 19
2019 8 6 FM005 80 21
2019 8 6 FM006 7 2.75
2019 8 6 FM006 18 5.5
2019 8 6 FM007 65 17.25
2019 8 6 FM009 20 6
2019 8 6 FM010 9 3.25
2019 8 6 FM011 17 5.25
2019 8 6 FM012 6 2.5
2019 8 6 FM012 102 26.5
2019 8 6 FM013 10 3.5
2019 8 6 FM013 74 19.5
2019 8 6 FM014 66 17.5
2019 8 7 FE942 9 3.25
2019 8 7 FE942 50 13.5
2019 8 7 FE943 24 7
2019 8 7 FE945 40 11
2019 8 7 FE945 5 2.25
2019 8 7 FE946 70 18.5
2019 8 7 FE947 64 17
2019 8 7 FE947 80 21
2019 8 7 FE948 14 4.5
2019 8 7 FE948 22 6.5
2019 8 7 FE948 19 5.75
2019 8 7 FE948 9 3.25
2019 8 7 FE949 2 1.5
2019 8 7 FE949 76 20
2019 8 7 FE949 4 2
2019 8 7 FE950 24 7
2019 8 7 FE952 36 10
2019 8 7 FE954 31 8.75
2019 8 7 FE954 8 3
2019 8 7 FE955 51 13.75
2019 8 7 FE955 19 5.75
2019 8 7 FE956 23 6.75
2019 8 7 FM002 29 8.25
2019 8 7 FM004 10 3.5
2019 8 7 FM005 114 29.5
2019 8 7 FM005 19 5.75
2019 8 7 FM008 35 9.75
2019 8 7 FM008 76 20
2019 8 7 FM010 12 4
2019 8 7 FM010 31 8.75
2019 8 7 FM012 31 8.75
2019 8 7 FM013 53 14.25
2019 8 7 FM015 67 17.75
2019 8 8 FE943 11 3.75
2019 8 8 FE945 84 22
2019 8 8 FE947 46 12.5
2019 8 8 FE947 1 1.25
2019 8 8 FE948 1 1.25
2019 8 8 FE948 8 3
2019 8 8 FE949 68 18
2019 8 8 FE950 86 22.5
2019 8 8 FE952 11 3.75
2019 8 8 FE952 26 7.5
2019 8 8 FE954 25 7.25
2019 8 8 FE955 10 3.5
2019 8 8 FE955 58 15.5
2019 8 8 FE956 51 13.75
2019 8 8 FM002 55 14.75
2019 8 8 FM002 8 3
2019 8 8 FM002 51 13.75
2019 8 8 FM004 67 17.75
2019 8 8 FM005 25 7.25
2019 8 8 FM005 21 6.25
2019 8 8 FM007 31 8.75
2019 8 8 FM008 7 2.75
2019 8 8 FM008 20 6
2019 8 8 FM008 64 17
2019 8 8 FM009 1 1.25
2019 8 8 FM009 15 4.75
2019 8 8 FM010 36 10
2019 8 8 FM010 58 15.5
2019 8 8 FM013 101 26.25
2019 8 8 FM013 56 15
2019 8 9 FE942 67 17.75
2019 8 9 FE942 17 5.25
2019 8 9 FE943 38 10.5
2019 8 9 FE945 32 9
2019 8 9 FE946 97 25.25
2019 8 9 FE947 41 11.25
2019 8 9 FE947 68 18
2019 8 9 FE947 9 3.25
2019 8 9 FE947 6 2.5
2019 8 9 FE949 18 5.5
2019 8 9 FE950 59 15.75
2019 8 9 FE952 46 12.5
2019 8 9 FE953 19 5.75
2019 8 9 FE956 48 13
2019 8 9 FM002 7 2.75
2019 8 9 FM002 85 22.25
2019 8 9 FM002 41 11.25
2019 8 9 FM003 83 21.75
2019 8 9 FM003 12 4
2019 8 9 FM004 81 21.25
2019 8 9 FM007 22 6.5
2019 8 9 FM008 26 7.5
2019 8 9 FM009 2 1.5
2019 8 9 FM010 47 12.75
2019 8 9 FM015 99 25.75
2019 8 10 FE942 50 13.5
2019 8 10 FE943 48 13
2019 8 10 FE943 40 11
2019 8 10 FE943 16 5
2019 8 10 FE943 16 5
2019 8 10 FE944 39 10.75
2019 8 10 FE944 65 17.25
2019 8 10 FE949 44 12
2019 8 10 FE949 38 10.5
2019 8 10 FE950 50 13.5
2019 8 10 FE952 47 12.75
2019 8 10 FE952 40 11
2019 8 10 FE954 48 13
2019 8 10 FE954 14 4.5
2019 8 10 FE955 8 3
2019 8 10 FE956 29 8.25
2019 8 10 FM001 49 13.25
2019 8 10 FM001 28 8
2019 8 10 FM002 71 18.75
2019 8 10 FM003 33 9.25
2019 8 10 FM003 57 15.25
2019 8 10 FM004 75 19.75
2019 8 10 FM007 5 2.25
2019 8 10 FM007 74 19.5
2019 8 10 FM008 2 1.5
2019 8 10 FM008 9 3.25
2019 8 10 FM011 31 8.75
2019 8 10 FM012 92 24
2019 8 10 FM014 15 4.75
2019 8 10 FM015 4 2
2019 8 10 FM015 59 15.75
2019 8 11 FE944 192 49
2019 8 11 FE946 168 43
2019 8 11 FE946 352 89
2019 8 11 FE947 16 5
2019 8 11 FE947 116 30
2019 8 11 FE948 300 76
2019 8 11 FE948 112 29
2019 8 11 FE949 16 5
2019 8 11 FE949 32 9
2019 8 11 FE949 108 28
2019 8 11 FE949 204 52
2019 8 11 FE950 248 63
2019 8 11 FE950 124 32
2019 8 11 FE950 172 44
2019 8 11 FE951 44 12
2019 8 11 FE952 20 6
2019 8 11 FE952 348 88
2019 8 11 FE954 144 37
2019 8 11 FE955 420 106
2019 8 11 FE956 104 27
2019 8 11 FE956 372 94
2019 8 11 FM001 252 64
2019 8 11 FM002 44 12
2019 8 11 FM002 168 43
2019 8 11 FM003 228 58
2019 8 11 FM003 184 47
2019 8 11 FM005 176 45
2019 8 11 FM006 332 84
2019 8 11 FM006 180 46
2019 8 11 FM007 148 38
2019 8 11 FM007 288 73
2019 8 11 FM009 180 46
2019 8 11 FM010 64 17
2019 8 11 FM011 244 62
2019 8 11 FM014 68 18
2019 8 11 FM014 232 59
2019 8 11 FM015 56 15
2019 8 12 FE942 39 10.75
2019 8 12 FE942 19 5.75
2019 8 12 FE942 55 14.75
2019 8 12 FE943 112 29
2019 8 12 FE945 20 6
2019 8 12 FE945 8 3
2019 8 12 FE946 16 5
2019 8 12 FE946 42 11.5
2019 8 12 FE947 26 7.5
2019 8 12 FE947 68 18
2019 8 12 FE947 12 4
2019 8 12 FE947 21 6.25
2019 8 12 FE948 41 11.25
2019 8 12 FE950 18 5.5
2019 8 12 FE953 89 23.25
2019 8 12 FE954 8 3
2019 8 12 FE955 49 13.25
2019 8 12 FE956 48 13
2019 8 12 FM003 25 7.25
2019 8 12 FM003 49 13.25
2019 8 12 FM004 11 3.75
2019 8 12 FM005 27 7.75
2019 8 12 FM005 22 6.5
2019 8 12 FM006 59 15.75
2019 8 12 FM007 38 10.5
2019 8 12 FM009 10 3.5
2019 8 12 FM010 72 19
2019 8 12 FM011 20 6
2019 8 12 FM012 19 5.75
2019 8 12 FM012 16 5
2019 8 12 FM013 54 14.5
2019 8 13 FE946 43 11.75
2019 8 13 FE947 48 13
2019 8 13 FE948 7 2.75
2019 8 13 FE949 33 9.25
2019 8 13 FE949 69 18.25
2019 8 13 FE950 56 15
2019 8 13 FE950 55 14.75
2019 8 13 FE951 13 4.25
2019 8 13 FE951 43 11.75
2019 8 13 FE952 49 13.25
2019 8 13 FE954 72 19
2019 8 13 FE956 17 5.25
2019 8 13 FM005 12 4
2019 8 13 FM006 30 8.5
2019 8 13 FM006 30 8.5
2019 8 13 FM013 52 14
2019 8 13 FM014 77 20.25
2019 8 13 FM015 45 12.25
2019 8 14 FE944 86 22.5
2019 8 14 FE947 87 22.75
2019 8 14 FE948 9 3.25
2019 8 14 FE948 18 5.5
2019 8 14 FE949 8 3
2019 8 14 FE949 10 3.5
2019 8 14 FE949 70 18.5
2019 8 14 FE953 106 27.5
2019 8 14 FE954 10 3.5
2019 8 14 FM001 15 4.75
2019 8 14 FM001 62 16.5
2019 8 14 FM003 13 4.25
2019 8 14 FM004 36 10
2019 8 14 FM005 21 6.25
2019 8 14 FM005 44 12
2019 8 14 FM007 8 3
2019 8 14 FM008 20 6
2019 8 14 FM010 51 13.75
2019 8 14 FM010 8 3
2019 8 14 FM012 29 8.25
2019 8 14 FM012 55 14.75
2019 8 14 FM012 47 12.75
2019 8 14 FM015 90 23.5
2019 8 15 FE942 62 16.5
2019 8 15 FE942 41 11.25
2019 8 15 FE943 12 4
2019 8 15 FE944 87 22.75
2019 8 15 FE944 17 5.25
2019 8 15 FE945 38 10.5
2019 8 15 FE948 18 5.5
2019 8 15 FE949 88 23
2019 8 15 FE950 114 29.5
2019 8 15 FE952 24 7
2019 8 15 FE952 54 14.5
2019 8 15 FE954 62 16.5
2019 8 15 FE955 29 8.25
2019 8 15 FE955 19 5.75
2019 8 15 FE956 64 17
2019 8 15 FE956 8 3
2019 8 15 FE956 4 2
2019 8 15 FM001 69 18.25
2019 8 15 FM001 24 7
2019 8 15 FM002 12 4
2019 8 15 FM003 5 2.25
2019 8 15 FM003 28 8
2019 8 15 FM004 10 3.5
2019 8 15 FM004 71 18.75
2019 8 15 FM005 2 1.5
2019 8 15 FM005 60 16
2019 8 15 FM008 79 20.75
2019 8 15 FM009 69 18.25
2019 8 15 FM010 10 3.5
2019 8 15 FM011 96 25
2019 8 15 FM012 11 3.75
2019 8 15 FM012 12 4
2019 8 15 FM013 48 13
2019 8 15 FM013 15 4.75
2019 8 15 FM015 32 9
2019 8 15 FM015 49 13.25
2019 8 16 FE943 54 14.5
2019 8 16 FE943 66 17.5
2019 8 16 FE944 28 8
2019 8 16 FE944 23 6.75
2019 8 16 FE944 56 15
2019 8 16 FE946 48 13
2019 8 16 FE947 53 14.25
2019 8 16 FE947 5 2.25
2019 8 16 FE948 62 16.5
2019 8 16 FE948 21 6.25
2019 8 16 FE948 10 3.5
2019 8 16 FE949 60 16
2019 8 16 FE950 46 12.5
2019 8 16 FE951 14 4.5
2019 8 16 FE952 14 4.5
2019 8 16 FE956 15 4.75
2019 8 16 FM002 61 16.25
2019 8 16 FM003 107 27.75
2019 8 16 FM005 28 8
2019 8 16 FM005 34 9.5
2019 8 16 FM005 15 4.75
2019 8 16 FM006 45 12.25
2019 8 16 FM006 19 5.75
2019 8 16 FM007 23 6.75
2019 8 16 FM009 12 4
2019 8 16 FM011 4 2
2019 8 16 FM012 25 7.25
2019 8 16 FM012 14 4.5
2019 8 16 FM014 74 19.5
2019 8 17 FE942 3 1.75
2019 8 17 FE942 43 11.75
2019 8 17 FE942 30 8.5
2019 8 17 FE944 77 20.25
2019 8 17 FE945 8 3
2019 8 17 FE945 33 9.25
2019 8 17 FE949 12 4
2019 8 17 FE950 9 3.25
2019 8 17 FE950 58 15.5
2019 8 17 FE954 8 3
2019 8 17 FE954 2 1.5
2019 8 17 FE954 28 8
2019 8 17 FE954 30 8.5
2019 8 17 FE954 16 5
2019 8 17 FE954 55 14.75
2019 8 17 FE954 15 4.75
2019 8 17 FE955 61 16.25
2019 8 17 FM001 15 4.75
2019 8 17 FM002 38 10.5
2019 8 17 FM002 28 8
2019 8 17 FM002 43 11.75
2019 8 17 FM003 76 20
2019 8 17 FM005 50 13.5
2019 8 17 FM005 61 16.25
2019 8 17 FM007 23 6.75
2019 8 17 FM007 43 11.75
2019 8 17 FM007 11 3.75
2019 8 17 FM008 20 6
2019 8 17 FM011 2 1.5
2019 8 17 FM011 29 8.25
2019 8 17 FM012 13 4.25
2019 8 17 FM012 27 7.75
2019 8 17 FM012 20 6
2019 8 17 FM012 16 5
2019 8 17 FM013 71 18.75
2019 8 17 FM013 19 5.75
2019 8 17 FM015 40 11
2019 8 17 FM015 7 2.75
2019 8 18 FE942 82 21.5
2019 8 18 FE943 6 2.5
2019 8 18 FE944 40 11
2019 8 18 FE944 63 16.75
2019 8 18 FE944 3 1.75
2019 8 18 FE946 24 7
2019 8 18 FE947 10 3.5
2019 8 18 FE948 66 17.5
2019 8 18 FE948 25 7.25
2019 8 18 FE949 17 5.25
2019 8 18 FE949 22 6.5
2019 8 18 FE951 76 20
2019 8 18 FE952 6 2.5
2019 8 18 FE952 18 5.5
2019 8 18 FE952 13 4.25
2019 8 18 FE954 6 2.5
2019 8 18 FE955 87 22.75
2019 8 18 FE956 6 2.5
2019 8 18 FM001 12 4
2019 8 18 FM001 15 4.75
2019 8 18 FM002 11 3.75
2019 8 18 FM002 70 18.5
2019 8 18 FM005 27 7.75
2019 8 18 FM006 19 5.75
2019 8 18 FM006 59 15.75
2019 8 18 FM007 21 6.25
2019 8 18 FM007 51 13.75
2019 8 18 FM008 68 18
2019 8 18 FM009 14 4.5
2019 8 18 FM009 22 6.5
2019 8 18 FM010 5 2.25
2019 8 18 FM013 26 7.5
2019 8 18 FM014 27 7.75
2019 8 18 FM014 58 15.5
2019 8 18 FM015 8 3
2019 8 19 FE942 8 3
2019 8 19 FE943 19 5.75
2019 8 19 FE945 55 14.75
2019 8 19 FE945 28 8
2019 8 19 FE946 10 3.5
2019 8 19 FE947 63 16.75
2019 8 19 FE947 14 4.5
2019 8 19 FE948 31 8.75
2019 8 19 FE948 18 5.5
2019 8 19 FE950 43 11.75
2019 8 19 FE951 1 1.25
2019 8 19 FE953 27 7.75
2019 8 19 FE954 12 4
2019 8 19 FM001 24 7
2019 8 19 FM001 37 10.25
2019 8 19 FM001 7 2.75
2019 8 19 FM001 44 12
2019 8 19 FM001 11 3.75
2019 8 19 FM002 12 4
2019 8 19 FM002 53 14.25
2019 8 19 FM002 17 5.25
2019 8 19 FM003 30 8.5
2019 8 19 FM005 18 5.5
2019 8 19 FM005 1 1.25
2019 8 19 FM006 14 4.5
2019 8 19 FM006 8 3
2019 8 19 FM006 60 16
2019 8 19 FM007 37 10.25
2019 8 19 FM007 60 16
2019 8 19 FM007 13 4.25
2019 8 19 FM010 46 12.5
2019 8 19 FM012 56 15
2019 8 19 FM012 32 9
2019 8 19 FM014 48 13
2019 8 19 FM014 21 6.25
2019 8 20 FE945 23 6.75
2019 8 20 FE945 14 4.5
2019 8 20 FE946 9 3.25
2019 8 20 FE947 18 5.5
2019 8 20 FE948 56 15
2019 8 20 FE949 61 16.25
2019 8 20 FE950 16 5
2019 8 20 FE951 35 9.75
2019 8 20 FE951 45 12.25
2019 8 20 FE951 5 2.25
2019 8 20 FE952 64 17
2019 8 20 FE953 40 11
2019 8 20 FE954 14 4.5
2019 8 20 FE955 62 16.5
2019 8 20 FE956 18 5.5
2019 8 20 FE956 103 26.75
2019 8 20 FM001 67 17.75
2019 8 20 FM002 36 10
2019 8 20 FM002 4 2
2019 8 20 FM003 36 10
2019 8 20 FM005 47 12.75
2019 8 20 FM006 57 15.25
2019 8 20 FM006 36 10
2019 8 20 FM006 37 10.25
2019 8 20 FM006 66 17.5
2019 8 20 FM006 15 4.75
2019 8 20 FM007 73 19.25
2019 8 20 FM008 15 4.75
2019 8 20 FM008 37 10.25
2019 8 20 FM008 47 12.75
2019 8 20 FM009 86 22.5
2019 8 20 FM013 67 17.75
2019 8 20 FM013 17 5.25
2019 8 20 FM013 57 15.25
2019 8 20 FM014 37 10.25
2019 8 20 FM015 1 1.25
2019 8 20 FM015 44 12
2019 8 21 FE942 41 11.25
2019 8 21 FE942 8 3
2019 8 21 FE942 3 1.75
2019 8 21 FE943 27 7.75
2019 8 21 FE943 30 8.5
2019 8 21 FE943 43 11.75
2019 8 21 FE944 15 4.75
2019 8 21 FE945 4 2
2019 8 21 FE948 37 10.25
2019 8 21 FE949 38 10.5
2019 8 21 FE951 47 12.75
2019 8 21 FE951 22 6.5
2019 8 21 FE952 13 4.25
2019 8 21 FE952 3 1.75
2019 8 21 FE953 38 10.5
2019 8 21 FE954 22 6.5
2019 8 21 FE956 39 10.75
2019 8 21 FM001 12 4
2019 8 21 FM001 76 20
2019 8 21 FM001 33 9.25
2019 8 21 FM003 9 3.25
2019 8 21 FM003 11 3.75
2019 8 21 FM004 15 4.75
2019 8 21 FM004 40 11
2019 8 21 FM004 58 15.5
2019 8 21 FM005 2 1.5
2019 8 21 FM006 10 3.5
2019 8 21 FM007 15 4.75
2019 8 21 FM007 41 11.25
2019 8 21 FM008 28 8
2019 8 21 FM008 65 17.25
2019 8 21 FM009 10 3.5
2019 8 21 FM009 12 4
2019 8 21 FM010 17 5.25
2019 8 21 FM011 44 12
2019 8 21 FM013 24 7
2019 8 21 FM014 11 3.75
2019 8 21 FM015 10 3.5
2019 8 21 FM015 51 13.75
2019 8 22 FE943 12 4
2019 8 22 FE945 38 10.5
2019 8 22 FE945 46 12.5
2019 8 22 FE947 21 6.25
2019 8 22 FE947 29 8.25
2019 8 22 FE947 49 13.25
2019 8 22 FE947 27 7.75
2019 8 22 FE948 42 11.5
2019 8 22 FE949 8 3
2019 8 22 FE950 11 3.75
2019 8 22 FE951 65 17.25
2019 8 22 FE952 80 21
2019 8 22 FM001 33 9.25
2019 8 22 FM003 18 5.5
2019 8 22 FM004 36 10
2019 8 22 FM005 53 14.25
2019 8 22 FM005 10 3.5
2019 8 22 FM005 22 6.5
2019 8 22 FM005 53 14.25
2019 8 22 FM006 94 24.5
2019 8 22 FM007 59 15.75
2019 8 22 FM007 55 14.75
2019 8 22 FM007 57 15.25
2019 8 22 FM007 11 3.75
2019 8 22 FM010 2 1.5
2019 8 22 FM010 42 11.5
2019 8 22 FM010 13 4.25
2019 8 22 FM011 20 6
2019 8 22 FM011 66 17.5
2019 8 22 FM012 33 9.25
2019 8 22 FM014 12 4
2019 8 22 FM014 54 14.5
2019 8 22 FM015 6 2.5
2019 8 22 FM015 14 4.5
2019 8 23 FE943 28 8
2019 8 23 FE944 64 17
2019 8 23 FE945 17 5.25
2019 8 23 FE945 62 16.5
2019 8 23 FE947 8 3
2019 8 23 FE947 64 17
2019 8 23 FE949 32 9
2019 8 23 FE950 19 5.75
2019 8 23 FE951 80 21
2019 8 23 FE951 4 2
2019 8 23 FE952 20 6
2019 8 23 FE953 7 2.75
2019 8 23 FE953 67 17.75
2019 8 23 FE954 29 8.25
2019 8 23 FE955 10 3.5
2019 8 23 FE955 61 16.25
2019 8 23 FE955 74 19.5
2019 8 23 FE956 10 3.5
2019 8 23 FM001 24 7
2019 8 23 FM001 42 11.5
2019 8 23 FM001 21 6.25
2019 8 23 FM002 4 2
2019 8 23 FM002 13 4.25
2019 8 23 FM002 36 10
2019 8 23 FM003 46 12.5
2019 8 23 FM003 9 3.25
2019 8 23 FM004 39 10.75
2019 8 23 FM005 41 11.25
2019 8 23 FM006 4 2
2019 8 23 FM006 41 11.25
2019 8 23 FM008 32 9
2019 8 23 FM008 10 3.5
2019 8 23 FM008 26 7.5
2019 8 23 FM008 53 14.25
2019 8 23 FM011 46 12.5
2019 8 23 FM012 20 6
2019 8 23 FM014 3 1.75
2019 8 23 FM014 12 4
2019 8 24 FE942 7 2.75
2019 8 24 FE942 9 3.25
2019 8 24 FE944 11 3.75
2019 8 24 FE944 7 2.75
2019 8 24 FE946 9 3.25
2019 8 24 FE948 6 2.5
2019 8 24 FE950 35 9.75
2019 8 24 FE952 27 7.75
2019 8 24 FE954 8 3
2019 8 24 FE954 21 6.25
2019 8 24 FE955 5 2.25
2019 8 24 FE956 4 2
2019 8 24 FE956 8 3
2019 8 24 FM001 7 2.75
2019 8 24 FM001 6 2.5
2019 8 24 FM002 3 1.75
2019 8 24 FM003 15 4.75
2019 8 24 FM005 3 1.75
2019 8 24 FM006 5 2.25
2019 8 24 FM008 20 6
2019 8 24 FM010 6 2.5
2019 8 24 FM011 10 3.5
2019 8 24 FM012 9 3.25
2019 8 24 FM013 7 2.75
2019 8 24 FM014 13 4.25
2019 8 24 FM015 2 1.5
2019 8 24 FM015 27 7.75
2019 8 25 FE942 14 4.5
2019 8 25 FE942 29 8.25
2019 8 25 FE944 15 4.75
2019 8 25 FE944 22 6.5
2019 8 25 FE945 24 7
2019 8 25 FE946 54 14.5
2019 8 25 FE946 77 20.25
2019 8 25 FE946 15 4.75
2019 8 25 FE946 67 17.75
2019 8 25 FE947 56 15
2019 8 25 FE948 11 3.75
2019 8 25 FE949 65 17.25
2019 8 25 FE951 27 7.75
2019 8 25 FE952 28 8
2019 8 25 FE952 10 3.5
2019 8 25 FE953 57 15.25
2019 8 25 FE954 55 14.75
2019 8 25 FE954 54 14.5
2019 8 25 FE955 42 11.5
2019 8 25 FE955 24 7
2019 8 25 FE955 46 12.5
2019 8 25 FE956 28 8
2019 8 25 FM001 38 10.5
2019 8 25 FM002 25 7.25
2019 8 25 FM002 67 17.75
2019 8 25 FM004 9 3.25
2019 8 25 FM006 16 5
2019 8 25 FM006 17 5.25
2019 8 25 FM006 37 10.25
2019 8 25 FM006 3 1.75
2019 8 25 FM006 65 17.25
2019 8 25 FM007 55 14.75
2019 8 25 FM007 37 10.25
2019 8 25 FM007 23 6.75
2019 8 25 FM008 15 4.75
2019 8 25 FM008 10 3.5
2019 8 25 FM009 19 5.75
2019 8 25 FM009 10 3.5
2019 8 25 FM013 16 5
2019 8 25 FM014 52 14
2019 8 26 FE944 73 19.25
2019 8 26 FE945 48 13
2019 8 26 FE948 25 7.25
2019 8 26 FE948 36 10
2019 8 26 FE951 32 9
2019 8 26 FE952 15 4.75
2019 8 26 FE952 37 10.25
2019 8 26 FE952 21 6.25
2019 8 26 FE952 22 6.5
2019 8 26 FE953 26 7.5
2019 8 26 FE953 24 7
2019 8 26 FE956 4 2
2019 8 26 FM004 5 2.25
2019 8 26 FM006 41 11.25
2019 8 26 FM006 25 7.25
2019 8 26 FM007 55 14.75
2019 8 26 FM009 76 20
2019 8 26 FM010 41 11.25
2019 8 26 FM010 47 12.75
2019 8 26 FM012 58 15.5
2019 8 26 FM012 10 3.5
2019 8 26 FM013 38 10.5
2019 8 26 FM013 81 21.25
2019 8 26 FM013 31 8.75
2019 8 26 FM013 40 11
2019 8 26 FM015 16 5
2019 8 27 FE943 35 9.75
2019 8 27 FE943 68 18
2019 8 27 FE943 23 6.75
2019 8 27 FE944 43 11.75
2019 8 27 FE946 9 3.25
2019 8 27 FE946 117 30.25
2019 8 27 FE947 46 12.5
2019 8 27 FE947 35 9.75
2019 8 27 FE948 11 3.75
2019 8 27 FE951 10 3.5
2019 8 27 FE951 19 5.75
2019 8 27 FE953 25 7.25
2019 8 27 FE953 47 12.75
2019 8 27 FE955 16 5
